Date,Year,Month,MonthPeriod,MonthYear,Day,DayName
15-12-2019,2019,December,201912,19-Dec,15,Sunday
16-12-2019,2019,December,201912,19-Dec,16,Monday
17-12-2019,2019,December,201912,19-Dec,17,Tuesday
18-12-2019,2019,December,201912,19-Dec,18,Wednesday
19-12-2019,2019,December,201912,19-Dec,19,Thursday
20-12-2019,2019,December,201912,19-Dec,20,Friday
21-12-2019,2019,December,201912,19-Dec,21,Saturday
22-12-2019,2019,December,201912,19-Dec,22,Sunday
23-12-2019,2019,December,201912,19-Dec,23,Monday
24-12-2019,2019,December,201912,19-Dec,24,Tuesday
25-12-2019,2019,December,201912,19-Dec,25,Wednesday
26-12-2019,2019,December,201912,19-Dec,26,Thursday
27-12-2019,2019,December,201912,19-Dec,27,Friday
28-12-2019,2019,December,201912,19-Dec,28,Saturday
29-12-2019,2019,December,201912,19-Dec,29,Sunday
30-12-2019,2019,December,201912,19-Dec,30,Monday
31-12-2019,2019,December,201912,19-Dec,31,Tuesday
1/1/2020,2020,January,202001,20-Jan,1,Wednesday
2/1/2020,2020,January,202001,20-Jan,2,Thursday
3/1/2020,2020,January,202001,20-Jan,3,Friday
4/1/2020,2020,January,202001,20-Jan,4,Saturday
5/1/2020,2020,January,202001,20-Jan,5,Sunday
6/1/2020,2020,January,202001,20-Jan,6,Monday
7/1/2020,2020,January,202001,20-Jan,7,Tuesday
8/1/2020,2020,January,202001,20-Jan,8,Wednesday
9/1/2020,2020,January,202001,20-Jan,9,Thursday
10/1/2020,2020,January,202001,20-Jan,10,Friday
11/1/2020,2020,January,202001,20-Jan,11,Saturday
12/1/2020,2020,January,202001,20-Jan,12,Sunday
13-01-2020,2020,January,202001,20-Jan,13,Monday
14-01-2020,2020,January,202001,20-Jan,14,Tuesday
15-01-2020,2020,January,202001,20-Jan,15,Wednesday
16-01-2020,2020,January,202001,20-Jan,16,Thursday
17-01-2020,2020,January,202001,20-Jan,17,Friday
18-01-2020,2020,January,202001,20-Jan,18,Saturday
19-01-2020,2020,January,202001,20-Jan,19,Sunday
20-01-2020,2020,January,202001,20-Jan,20,Monday
21-01-2020,2020,January,202001,20-Jan,21,Tuesday
22-01-2020,2020,January,202001,20-Jan,22,Wednesday
23-01-2020,2020,January,202001,20-Jan,23,Thursday
24-01-2020,2020,January,202001,20-Jan,24,Friday
25-01-2020,2020,January,202001,20-Jan,25,Saturday
26-01-2020,2020,January,202001,20-Jan,26,Sunday
27-01-2020,2020,January,202001,20-Jan,27,Monday
28-01-2020,2020,January,202001,20-Jan,28,Tuesday
29-01-2020,2020,January,202001,20-Jan,29,Wednesday
30-01-2020,2020,January,202001,20-Jan,30,Thursday
31-01-2020,2020,January,202001,20-Jan,31,Friday
1/2/2020,2020,February,202002,20-Feb,1,Saturday
2/2/2020,2020,February,202002,20-Feb,2,Sunday
3/2/2020,2020,February,202002,20-Feb,3,Monday
4/2/2020,2020,February,202002,20-Feb,4,Tuesday
5/2/2020,2020,February,202002,20-Feb,5,Wednesday
6/2/2020,2020,February,202002,20-Feb,6,Thursday
